date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-23,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-24,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-25,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-26,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-27,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-28,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-29,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-30,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-31,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-01,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-02,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-03,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-04,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-05,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-06,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-07,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-08,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-09,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-10,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-11,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-12,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-13,01001,Autauga,AL,0,0,,,,,,,,,,,,,,,,,,,,
